,Evalaution Turn,iterations,success,fitness,position
0,1,313.0,1,10.0,[ 1.82057618e-09 -3.78677894e-10  7.05986601e+04]
1,2,331.0,1,10.0,[-4.97508745e-10  3.26097738e-10 -8.62929272e+05]
2,3,345.0,1,10.0,[-3.40042720e-09 -1.30500250e-09 -1.87892819e+08]
3,4,,0,,
4,5,240.0,1,10.0,[-2.02408302e-09 -1.12147930e-10 -9.09480158e+03]
5,6,269.0,1,10.0,[-2.03968180e-09  6.11490919e-10  1.59830994e+02]
6,7,292.0,1,10.0,[-3.73143090e-09 -9.64056427e-10 -7.58985739e+02]
7,8,298.0,1,10.0,[-2.09801874e-10  7.52954528e-10 -5.23394518e+03]
8,9,302.0,1,10.0,[-2.45194500e-09 -5.62317890e-10 -2.64541538e+04]
9,10,333.0,1,10.0,[ 2.85510884e-09  2.98106263e-10 -1.29263977e+06]
10,11,316.0,1,10.0,[ 3.28549039e-09 -1.04112263e-09  4.37066091e+05]
11,12,297.0,1,10.0,[ 3.55541682e-09  1.14732969e-11 -1.11822302e+06]
12,13,,0,,
13,14,269.0,1,10.0,[ 1.91747427e-09 -3.61950572e-10  3.02142721e+02]
14,15,301.0,1,10.0,[-1.28928814e-09  1.53435672e-09 -2.21673991e+04]
15,16,257.0,1,10.0,[-2.13558023e-09 -1.61829232e-09  2.87388605e+04]
16,17,309.0,1,10.0,[-1.83757380e-10  1.41868205e-09 -7.18230686e+05]
17,18,265.0,1,10.0,[-1.40080777e-09 -3.02034366e-10  3.91598371e+03]
18,19,225.0,1,10.0,[2.18505133e-09 1.16310052e-09 2.46000882e+03]
19,20,288.0,1,10.0,[ 3.55081513e-09 -8.98053827e-10 -1.18527517e+01]
20,21,218.0,1,10.0,[ 7.68333206e-10  7.46546648e-10 -4.83821206e+04]
21,22,301.0,1,10.0,[-5.57861922e-10 -3.34860135e-11  7.09137666e+07]
22,23,299.0,1,10.0,[-7.95172002e-10 -1.24966153e-09  1.14164307e+04]
23,24,296.0,1,10.0,[ 1.13385090e-09 -5.46668910e-10  3.06520739e+05]
24,25,328.0,1,10.0,[-2.02290576e-09 -1.05676300e-09  1.20397031e+05]
25,26,271.0,1,10.0,[-3.60286189e-09 -1.14762780e-09  1.16811117e+06]
26,27,339.0,1,10.0,[-2.02598632e-09 -1.34987097e-09 -6.71917546e+07]
27,28,311.0,1,10.0,[-3.62642696e-09  8.26888604e-10  1.42962052e+02]
28,29,354.0,1,10.0,[ 3.32715926e-09  3.53908760e-10 -2.33456110e+03]
29,30,,0,,
30,31,308.0,1,10.0,[2.97498108e-09 9.61406575e-10 4.74513761e+06]
31,32,305.0,1,10.0,[-2.19537849e-09  1.21468246e-10 -1.06318517e+03]
32,33,295.0,1,10.0,[-3.47805607e-09  3.97260408e-10 -4.63159732e+03]
33,34,282.0,1,10.0,[ 5.42550377e-11 -8.61635806e-10  7.29286798e+05]
34,35,320.0,1,10.0,[1.91043610e-11 8.49308435e-10 1.15668602e+03]
35,36,265.0,1,10.0,[-5.81033496e-10 -1.04995225e-09  2.67384367e+04]
36,37,267.0,1,10.0,[-1.22857534e-09 -7.01521256e-10  1.60289443e+08]
37,38,278.0,1,10.0,[-9.32222489e-10  3.39482468e-10  1.79964739e+06]
38,39,277.0,1,10.0,[-2.68368748e-09  1.34965413e-09  1.01144282e+04]
39,40,311.0,1,10.0,[-1.04618239e-10  1.18940648e-09 -1.19530083e+03]
40,41,259.0,1,10.0,[-1.68848443e-10  1.24307479e-09 -1.09963890e+03]
41,42,246.0,1,10.0,[-3.64937044e-09  8.05008116e-10 -1.99764073e+05]
42,43,273.0,1,10.0,[1.68352907e-11 3.86371018e-10 8.50997421e+02]
43,44,237.0,1,10.0,[3.11969264e-09 1.54075995e-09 2.44242572e+04]
