,Evalaution Turn,iterations,success,fitness,position
0,1,155,1,10.0,[-6.01372407e-10 -1.63646579e-09  2.22825141e+00]
1,2,131,1,10.0,[-1.61661161e-09  1.43903551e-09 -2.30539043e+04]
2,3,175,1,10.0,[ 7.34716200e-10 -2.53489303e-10 -1.37559930e+05]
3,4,164,1,10.0,[-8.92547618e-10 -4.69727017e-10 -6.74867293e+04]
4,5,167,1,10.0,[-7.32744810e-12 -1.21379315e-10 -2.16382973e+03]
5,6,144,1,10.0,[ 1.01455875e-09 -3.55473862e-10  7.15390593e+01]
6,7,137,1,10.0,[9.19666181e-10 6.42265597e-10 1.34993307e+03]
7,8,128,1,10.0,[-2.36308400e-09  1.25188598e-09 -7.19250093e+03]
8,9,175,1,10.0,[-2.02438845e-09  1.27025758e-09 -3.02962372e+01]
9,10,172,1,10.0,[ 2.59142703e-09  1.60103489e-10 -2.21107200e+04]
10,11,169,1,10.0,[ 3.36372164e-10 -4.71255041e-10 -2.52530319e+02]
11,12,144,1,10.0,[-2.94375414e-09 -1.47076334e-09  1.30470965e+01]
12,13,192,1,10.0,[-3.48415541e-09  1.32135369e-09 -1.50117863e+00]
13,14,137,1,10.0,[ 6.88335819e-10 -1.24223371e-09  2.76838079e+02]
14,15,154,1,10.0,[-1.07845135e-09  1.21042838e-09 -6.09350873e+03]
15,16,166,1,10.0,[ 2.13702470e-09 -1.67547708e-09  6.61366010e+05]
16,17,204,1,10.0,[-2.12512806e-09  2.00518998e-10 -1.13882108e+02]
17,18,151,1,10.0,[-2.56330104e-09  7.91207361e-10 -7.40965603e+02]
18,19,153,1,10.0,[-4.17072385e-10  1.62172549e-10 -3.73974411e+02]
19,20,141,1,10.0,[ 2.01128406e-09 -7.96229939e-10 -1.15443753e+04]
20,21,148,1,10.0,[-2.09264430e-09 -1.25027269e-09 -7.05712352e+00]
21,22,148,1,10.0,[1.15137107e-09 1.03456031e-09 8.24493607e+03]
22,23,155,1,10.0,[1.07825472e-09 1.08900647e-09 6.52460772e+02]
23,24,154,1,10.0,[ 2.38321470e-09  1.42846442e-09 -2.60643643e+01]
24,25,132,1,10.0,[6.97536867e-10 1.64160455e-09 1.00366011e+01]
25,26,163,1,10.0,[-1.72537680e-09 -1.59038735e-09 -8.22983801e+02]
26,27,171,1,10.0,[-3.64436281e-09 -1.42362379e-09  1.16234756e+04]
27,28,140,1,10.0,[ 8.70439576e-11 -1.66556695e-09 -2.80895678e+03]
28,29,165,1,10.0,[ 3.12702212e-10 -1.49139468e-09  3.42679583e+03]
29,30,160,1,10.0,[ 2.02588016e-09 -1.08569352e-09 -1.44439843e+01]
30,31,156,1,10.0,[-2.06928044e-09  1.43277932e-09  4.51905833e+01]
31,32,141,1,10.0,[2.25160692e-09 7.89297051e-10 2.96253564e+02]
32,33,132,1,10.0,[-2.87212538e-09  5.52011523e-10 -5.20133667e+05]
33,34,187,1,10.0,[-4.33953054e-10 -1.53170888e-09  1.85529538e+05]
34,35,171,1,10.0,[-4.27519359e-10 -1.73570558e-10  3.35511731e+01]
35,36,148,1,10.0,[-1.61828980e-09 -4.39047660e-10 -2.21217285e+04]
36,37,171,1,10.0,[-2.54201214e-09  1.58340643e-10  1.79431375e+05]
37,38,169,1,10.0,[ 2.14674898e-09 -1.51673236e-09 -9.44750557e+03]
38,39,163,1,10.0,[3.06110560e-09 1.22223891e-09 1.23498146e+03]
39,40,133,1,10.0,[-2.63530372e-09 -5.34208451e-10  5.94125557e+02]
40,41,146,1,10.0,[ 1.46636766e-09 -6.29192354e-10  3.68551859e+01]
41,42,154,1,10.0,[2.95093018e-09 4.09889443e-10 1.83942584e+01]
42,43,139,1,10.0,[-3.02518775e-09  1.65323765e-09  2.15081014e+04]
43,44,142,1,10.0,[-1.91075538e-09  6.21163968e-10  1.61841075e+02]
44,45,162,1,10.0,[ 2.28811583e-09  1.39445516e-09 -2.27895552e+03]
45,46,158,1,10.0,[1.03680538e-09 1.67319411e-09 3.16953540e+02]
46,47,139,1,10.0,[-2.08154202e-09 -7.64187142e-10 -3.71324626e+02]
47,48,146,1,10.0,[-7.49913627e-10  5.37386448e-10 -6.47580550e+04]
48,49,167,1,10.0,[-2.50687991e-09 -8.05973975e-10 -1.17870556e+01]
49,50,161,1,10.0,[-3.02206238e-09 -7.27779986e-10  1.24009453e+02]
50,51,176,1,10.0,[-7.71598804e-10 -1.61885021e-09  2.68757286e+01]
51,52,136,1,10.0,[-2.08876393e-11  1.17313231e-09 -4.27743974e+02]
52,53,142,1,10.0,[ 2.91979370e-09 -1.33990642e-09  5.57752627e+01]
