,Evalaution Turn,iterations,success,fitness,position
0,1,77,1,1.1767671441601063e-09,[-2.71400094e-05 -2.09806348e-05  1.56270701e+03]
1,2,63,1,2.937193648275666e-09,[ 7.66284258e-06 -5.36514165e-05  3.98143639e+01]
2,3,69,1,9.586973373829972e-09,[-9.06825261e-05 -3.69276703e-05  5.72708078e+02]
3,4,56,1,6.2417022710779094e-09,[5.01416171e-05 6.10534234e-05 3.55710562e+02]
4,5,59,1,2.3303505316229416e-09,[-4.57437101e-05  1.54228246e-05 -8.36035516e+01]
5,6,58,1,8.674015376468969e-09,[-8.77231161e-05  3.12837062e-05 -7.83957802e+00]
6,7,74,1,1.0691305185718692e-09,[ 3.17706615e-05 -7.73017374e-06 -2.31969286e+01]
7,8,66,1,5.893220832588275e-09,[2.38322648e-05 7.29742693e-05 2.15449746e+04]
8,9,72,1,2.4094361276652602e-09,[-3.75784301e-05  3.15800208e-05 -2.90764740e+02]
9,10,89,1,9.35769938925809e-09,[-6.76969337e-05 -6.91001053e-05  2.63342534e+01]
10,11,84,1,9.287105446110356e-09,[-8.21531330e-05  5.03782511e-05 -8.33656428e+02]
11,12,53,1,1.649188776608945e-09,[-1.87734365e-05 -3.60103715e-05 -1.20659399e+03]
12,13,58,1,4.852473436580022e-09,[-1.51011387e-05 -6.80031547e-05  4.21452033e+00]
13,14,78,1,4.874107185464502e-09,[ 6.59497156e-05 -2.29072520e-05  1.19584859e+01]
14,15,76,1,1.5826509274238741e-09,[-3.97238003e-05  2.16116182e-06 -7.30659621e+00]
15,16,85,1,5.8971508134904405e-09,[ 3.75078293e-05 -6.70098019e-05  2.98384544e+02]
16,17,53,1,8.167874244920012e-09,[-7.90832295e-05 -4.37460518e-05  3.96742035e+02]
17,18,73,1,9.541921482195725e-09,[-7.55309613e-05  6.19434853e-05  1.21000046e+01]
18,19,50,1,3.93314942709822e-09,[ 6.25490884e-05 -4.55641995e-06  1.31849930e+01]
19,20,90,1,9.473607059276222e-09,[-6.50787871e-05  7.23765054e-05 -3.51246807e+01]
20,21,77,1,9.830768212609405e-09,[-1.23964181e-06 -9.91424808e-05 -6.29600062e+02]
21,22,71,1,8.384697624197485e-09,[-4.22800647e-05  8.12224954e-05  3.37241645e+02]
22,23,78,1,3.326958695000939e-09,[-5.64784181e-05 -1.17109769e-05 -1.69835549e+02]
23,24,48,1,7.418862080602889e-09,[ 8.16309512e-05  2.74818101e-05 -5.34244787e+01]
24,25,67,1,3.583457795601817e-09,[ 5.15335103e-05  3.04590727e-05 -1.16311403e+00]
25,26,76,1,8.334787488160005e-09,[ 8.25148099e-05 -3.90652484e-05 -2.44313495e+02]
26,27,60,1,8.117202761864584e-09,[ 4.19729502e-05 -7.97212281e-05 -3.50154298e+01]
27,28,68,1,5.314979678922067e-09,[-6.43181473e-05  3.43242714e-05  7.08476696e+01]
28,29,62,1,8.962870553724321e-10,[3.39963672e-06 2.97444033e-05 6.40308486e+02]
29,30,81,1,2.793311894242404e-09,[-1.71367135e-05 -4.99964493e-05 -1.62614593e+02]
30,31,62,1,4.0626811278819215e-09,[-5.12068082e-05 -3.79544981e-05 -1.46031678e+00]
31,32,82,1,6.651064146568022e-10,[ 3.62394545e-06 -2.55337705e-05  1.02365516e+03]
32,33,83,1,7.977635113294294e-09,[-8.75465259e-05  1.76986133e-05  3.95097723e+02]
