,Evalaution Turn,iterations,success,fitness,position
0,1,298.0,1,10.0,[ 1.07570204e-09 -1.17333926e-09  3.04660099e+06]
1,2,306.0,1,10.0,[-3.15885592e-09 -8.48295423e-10  5.72463910e+05]
2,3,282.0,1,10.0,[-3.21255291e-09 -3.22752707e-10 -1.51838920e+03]
3,4,294.0,1,10.0,[-3.63582551e-09  1.27549736e-09  1.68314369e+06]
4,5,333.0,1,10.0,[-3.22210920e-09 -1.38019067e-09 -1.66256589e+06]
5,6,224.0,1,10.0,[-3.55389347e-09 -2.02509875e-10  1.53758933e+02]
6,7,267.0,1,10.0,[-9.59409479e-10  7.57475086e-11  1.02822298e+05]
7,8,245.0,1,10.0,[-2.05233557e-09 -1.06150584e-09 -2.64899910e+04]
8,9,277.0,1,10.0,[1.85110930e-09 8.02816193e-10 3.98890662e+04]
9,10,235.0,1,10.0,[1.52687830e-09 4.52856255e-10 1.15817005e+05]
10,11,247.0,1,10.0,[-9.73988820e-10  4.31005691e-10 -1.66587576e+03]
11,12,212.0,1,10.0,[ 2.17401019e-09 -1.53376651e-09  6.58726986e+04]
12,13,319.0,1,10.0,[ 3.11100821e-09 -5.20823773e-10 -2.36050417e+04]
13,14,317.0,1,10.0,[-2.83360734e-09 -2.98027059e-10  1.49538455e+08]
14,15,262.0,1,10.0,[-3.53916161e-09 -1.30439168e-09 -3.22694950e+03]
15,16,302.0,1,10.0,[-7.57184752e-10  1.01748265e-09 -8.02320427e+05]
16,17,229.0,1,10.0,[-7.06622385e-10  5.59893281e-10  1.23059534e+03]
17,18,294.0,1,10.0,[1.61633225e-09 1.01220388e-09 1.63309489e+02]
18,19,206.0,1,10.0,[-6.98921752e-10 -1.38347407e-09 -7.82843029e+02]
19,20,258.0,1,10.0,[1.33697383e-09 1.02338421e-09 1.16373168e+06]
20,21,267.0,1,10.0,[-7.52720709e-10  7.83544763e-10  1.14242306e+06]
21,22,271.0,1,10.0,[ 1.47477465e-09 -3.77625222e-11 -2.60901637e+04]
22,23,,0,,
23,24,293.0,1,10.0,[-3.25893842e-09 -2.98910114e-10 -5.57028762e+04]
24,25,275.0,1,10.0,[-2.15899707e-09 -2.73826223e-10 -5.25149971e+04]
25,26,,0,,
26,27,269.0,1,10.0,[-1.95226172e-09  5.41766164e-10 -2.13621477e+05]
27,28,277.0,1,10.0,[ 1.88419825e-10 -8.77948163e-10  1.61580230e+04]
28,29,265.0,1,10.0,[-1.20318340e-09  7.37335352e-10  3.90361414e+03]
29,30,284.0,1,10.0,[-1.07940089e-09 -1.36366777e-09 -2.10895520e+05]
30,31,267.0,1,10.0,[-2.11381435e-09 -1.08009945e-09  4.81490819e+05]
31,32,259.0,1,10.0,[-2.86901966e-09  9.48321080e-11 -3.07479707e+05]
32,33,329.0,1,10.0,[ 1.84998157e-09  7.07101662e-10 -2.95735887e+04]
33,34,249.0,1,10.0,[-2.27913039e-09 -1.32869532e-09  1.60757908e+04]
34,35,282.0,1,10.0,[-3.26940532e-10  1.42375613e-09 -1.01297818e+04]
35,36,285.0,1,10.0,[-9.55967546e-10 -8.51066621e-12  1.91512206e+01]
36,37,263.0,1,10.0,[-3.43709296e-09 -1.31978581e-09  1.09911636e+06]
37,38,268.0,1,10.0,[-3.43749240e-09  1.38961031e-09  6.93304551e+01]
38,39,288.0,1,10.0,[-2.43897115e-09 -1.92860593e-10  5.89873615e+02]
39,40,211.0,1,10.0,[ 5.19137130e-10 -1.46539442e-09  6.99821905e+02]
40,41,260.0,1,10.0,[ 2.53732652e-09  1.13365921e-09 -8.02424114e+01]
41,42,223.0,1,10.0,[ 3.51052651e-09 -1.17121463e-09 -2.03806794e+04]
42,43,262.0,1,10.0,[ 7.44266583e-10  1.06749172e-09 -6.55956834e+01]
43,44,254.0,1,10.0,[-6.23368601e-10 -1.24423662e-09 -1.82266873e+02]
44,45,337.0,1,10.0,[-3.30859071e-09 -8.05289847e-10 -5.60973182e+04]
45,46,272.0,1,10.0,[-3.04398595e-09 -1.81975331e-10  1.95609876e+08]
46,47,258.0,1,10.0,[-1.25239296e-09  7.34537888e-10  7.53061053e+03]
47,48,292.0,1,10.0,[3.03995110e-09 4.70599665e-10 1.12547550e+04]
48,49,211.0,1,10.0,[-3.08009229e-09  1.25206915e-09  2.87932621e+03]
49,50,337.0,1,10.0,[ 3.45135197e-09  1.64541190e-09 -6.23056394e+06]
50,51,258.0,1,10.0,[-9.54866934e-11 -4.64941037e-10 -9.37333973e+02]
51,52,262.0,1,10.0,[-2.75990102e-09 -1.18236441e-09 -9.71083423e+02]
52,53,260.0,1,10.0,[-3.73126289e-09  2.36576252e-10  1.06425887e+02]
53,54,270.0,1,10.0,[-2.46675238e-09  7.66151255e-10  3.57487317e+04]
54,55,252.0,1,10.0,[-2.31356317e-09 -1.23486902e-09 -1.78744869e+05]
55,56,252.0,1,10.0,[ 3.47148224e-09 -7.84824791e-10 -3.06548871e+03]
56,57,271.0,1,10.0,[-2.66050343e-09 -5.35196780e-10  5.19247439e+03]
57,58,282.0,1,10.0,[ 1.58624150e-09  1.14263042e-09 -2.14413582e+02]
58,59,260.0,1,10.0,[1.92178694e-09 1.24694043e-09 3.81318515e+08]
59,60,262.0,1,10.0,[-2.20171789e-10 -1.32839457e-09  2.94635667e+01]
60,61,312.0,1,10.0,[-3.08332155e-09  3.18515537e-10  1.15219719e+04]
61,62,317.0,1,10.0,[ 3.33382908e-09  1.34576120e-09 -1.87516920e+03]
62,63,246.0,1,10.0,[-2.89821532e-09  1.62119409e-09 -4.70157648e+02]
63,64,271.0,1,10.0,[3.25369456e-09 1.31625167e-09 1.38882599e+06]
64,65,289.0,1,10.0,[-5.79432174e-10  1.55243282e-09  1.45524471e+03]
65,66,308.0,1,10.0,[ 9.45292119e-10 -6.94982286e-10  1.22767698e+05]
66,67,289.0,1,10.0,[-1.00832942e-09 -1.65367628e-09  2.37935015e+04]
67,68,307.0,1,10.0,[3.19625378e-09 5.16836688e-10 1.58824606e+05]
68,69,305.0,1,10.0,[ 2.90057056e-09 -1.23087995e-09 -1.20398970e+08]
69,70,316.0,1,10.0,[ 2.08641547e-10  1.48100203e-09 -2.82802850e+08]
70,71,242.0,1,10.0,[1.71721502e-09 1.50495599e-09 2.10596636e+03]
71,72,332.0,1,10.0,[-2.94343923e-10 -5.05937073e-10 -8.28591416e+05]
72,73,220.0,1,10.0,[-1.47893332e-09  4.87944478e-10 -1.10273080e+04]
73,74,270.0,1,10.0,[6.76001497e-10 5.28803978e-10 1.11835741e+03]
74,75,262.0,1,10.0,[6.74169383e-10 6.57859822e-10 2.91288302e+03]
75,76,213.0,1,10.0,[-9.79755680e-10  2.66135026e-10  8.50429438e+02]
76,77,213.0,1,10.0,[-2.93469386e-09  1.12305075e-09 -2.35587748e+06]
77,78,300.0,1,10.0,[1.46098219e-09 4.22639986e-11 1.09900832e+01]
