,Evalaution Turn,iterations,success,fitness,position
0,1,131,1,10.0,[ 1.49965252e-09  9.65725655e-10 -1.87766862e+04]
1,2,166,1,10.0,[ 1.91348768e-09 -8.35941694e-10  7.17245481e+04]
2,3,149,1,10.0,[-1.28683138e-09 -4.46327157e-10  2.19863615e+05]
3,4,131,1,10.0,[-1.28231604e-09  9.54031416e-12 -7.62921134e+01]
4,5,157,1,10.0,[ 2.46682305e-09 -9.78762707e-10 -1.11236887e+03]
5,6,130,1,10.0,[-2.01548114e-09  8.78654147e-10 -7.57176048e+03]
6,7,157,1,10.0,[-4.74531564e-10 -1.30715970e-09  6.72161774e+02]
7,8,136,1,10.0,[-9.84304561e-10 -1.00813315e-09 -6.98807632e+03]
8,9,139,1,10.0,[-6.47372999e-10  1.91593812e-10  1.89721315e+05]
9,10,140,1,10.0,[3.23058452e-11 3.83311821e-10 7.93632488e+02]
10,11,119,1,10.0,[-2.88202180e-09  1.35022546e-09  3.30894974e+03]
11,12,157,1,10.0,[-3.52759087e-09  9.20522704e-10  1.14229956e+01]
12,13,152,1,10.0,[-1.73101530e-09  4.52280322e-10 -2.44586822e+03]
13,14,165,1,10.0,[-1.33881210e-09  1.18107025e-09  1.07155759e+02]
14,15,149,1,10.0,[ 1.99279344e-09 -1.16832902e-09  2.12377772e+04]
15,16,152,1,10.0,[ 1.00706886e-09  8.42249187e-10 -2.17156638e+02]
16,17,148,1,10.0,[2.49711431e-09 1.26240973e-09 2.60857606e+00]
17,18,162,1,10.0,[2.19952279e-09 4.04548648e-11 7.79544577e+02]
18,19,134,1,10.0,[-9.82967488e-10  1.01162145e-09 -5.37438286e+01]
19,20,151,1,10.0,[-2.97632509e-09  1.42673637e-10 -5.75234382e+01]
20,21,125,1,10.0,[ 2.75967841e-09 -1.56331883e-09  9.43154621e+02]
21,22,140,1,10.0,[2.76858750e-09 7.28379400e-11 4.20572004e+02]
22,23,155,1,10.0,[-1.63253353e-09  1.13920568e-09 -7.60067630e+02]
23,24,158,1,10.0,[1.92707826e-09 5.96220730e-10 8.25106762e+03]
24,25,154,1,10.0,[-2.82624678e-09 -7.16637493e-10 -1.44989707e+03]
25,26,124,1,10.0,[-3.14259606e-09  1.90246781e-10  2.08640423e+04]
26,27,150,1,10.0,[-3.30712433e-09  2.99180256e-11 -7.30004398e+02]
27,28,124,1,10.0,[-1.24069964e-09  8.51043503e-10  1.94294366e+02]
28,29,152,1,10.0,[ 1.72525583e-09 -5.88637419e-10  3.67852918e+03]
29,30,160,1,10.0,[3.45443564e-09 1.26987564e-09 3.13143466e+03]
30,31,168,1,10.0,[ 1.63224796e-09  1.50055534e-09 -5.14068587e+01]
31,32,133,1,10.0,[3.17929563e-09 2.14341200e-10 3.89327080e+00]
32,33,141,1,10.0,[ 1.00810499e-10 -1.06935986e-09  1.26467651e+02]
33,34,145,1,10.0,[-1.95076382e-09  1.05721738e-09 -6.58650308e+02]
34,35,125,1,10.0,[ 1.12069660e-09 -8.19537478e-10 -3.42405333e+02]
35,36,133,1,10.0,[-2.22733398e-09  5.10585575e-10 -5.10635736e+02]
36,37,143,1,10.0,[-2.65642220e-09  1.47303461e-09  1.35224841e+01]
37,38,153,1,10.0,[-1.09488930e-09 -1.16120482e-09  2.21206634e+03]
38,39,131,1,10.0,[ 4.75373682e-10  7.06097664e-10 -3.00814680e+03]
39,40,144,1,10.0,[ 5.50045846e-10 -3.41338164e-11 -1.63619398e+02]
40,41,171,1,10.0,[-3.71733064e-09  9.63998359e-10  2.53540679e+00]
41,42,131,1,10.0,[ 1.14702932e-09 -1.52429147e-09 -7.01427429e+03]
42,43,135,1,10.0,[-1.25001871e-09 -7.51816096e-10 -1.97140184e+02]
43,44,136,1,10.0,[ 3.10640410e-09  7.03353442e-10 -4.31299352e+04]
44,45,148,1,10.0,[-9.18868063e-10 -2.48222933e-10 -9.84512966e+00]
45,46,155,1,10.0,[-3.95640207e-10  3.24769312e-10 -3.93454618e+02]
46,47,129,1,10.0,[3.72790093e-09 2.51308178e-11 1.29979296e+03]
47,48,148,1,10.0,[-3.71418349e-09  1.51527704e-09  1.94672005e+03]
48,49,127,1,10.0,[-3.06330739e-10 -2.31897768e-10 -1.08040558e+01]
49,50,144,1,10.0,[ 2.55325461e-09 -2.02242654e-10 -1.25919118e+04]
50,51,147,1,10.0,[-2.64288988e-09  4.42177652e-10  3.74738726e+03]
51,52,139,1,10.0,[ 7.94547100e-10  1.00888316e-09 -3.74453550e+03]
52,53,146,1,10.0,[-1.98219437e-09 -1.28970218e-09  1.13811736e+06]
53,54,133,1,10.0,[-2.04549682e-09  1.10750836e-09 -3.05207009e+04]
