,Evalaution Turn,iterations,success,fitness,position
0,1,68,1,7.530012976252529e-09,[ 8.57361786e-05  1.33910666e-05 -1.43329561e+01]
1,2,79,1,8.715204904535661e-09,[-1.04974060e-05  9.27631897e-05 -1.90409354e+01]
2,3,70,1,7.552833634535037e-09,[-8.66308269e-05  6.92339925e-06  1.30207988e+03]
3,4,80,1,5.539033458831372e-09,[ 7.41726823e-05 -6.11936743e-06 -2.84914135e+02]
4,5,79,1,8.741550800267173e-09,[-2.80939046e-05  8.91755758e-05 -3.76136726e+02]
5,6,77,1,6.655424129448019e-09,[ 6.61964567e-05 -4.76807429e-05 -3.71214430e+02]
6,7,78,1,1.6410267224128105e-09,[3.52531547e-05 1.99559968e-05 1.69062936e+02]
7,8,77,1,5.019466111953571e-09,[-5.21160813e-05 -4.79935431e-05  6.90139514e+01]
8,9,69,1,5.601007766215133e-09,[-3.59413424e-05  6.56447079e-05  8.46815627e+01]
9,10,100,1,3.1284072254609513e-09,[-5.51476897e-05 -9.33485634e-06  3.58540696e+05]
10,11,94,1,7.36449602760624e-09,[-4.97714214e-05  6.99092386e-05  1.72532841e+01]
11,12,95,1,4.804127329129772e-09,[-2.65784182e-05  6.40133971e-05 -3.60183484e+00]
12,13,92,1,5.54677471998364e-09,[-1.63322833e-05  7.26638235e-05 -5.53314665e+00]
13,14,122,1,5.794726174610493e-09,[-7.48644766e-05  1.37853662e-05 -8.44311827e+03]
14,15,74,1,4.123241591759671e-09,[ 6.32082083e-05 -1.13121172e-05  2.98751875e+02]
15,16,81,1,2.0823008196873043e-09,[1.65236055e-05 4.25355296e-05 1.91423155e+04]
16,17,94,1,4.9486947574005695e-09,[-1.75392644e-05 -6.81253915e-05  1.16267739e+02]
17,18,82,1,2.517677693991872e-09,[ 2.47921443e-05 -4.36237008e-05  3.14319533e+01]
18,19,88,1,3.8300985632370444e-10,[-9.68101021e-06  1.70084655e-05  1.49108001e+04]
19,20,96,1,4.8994567041446105e-09,[-1.46548913e-05  6.84448016e-05 -1.18749764e+04]
20,21,68,1,3.9393094686964995e-09,[6.27492349e-05 1.35756622e-06 1.19323172e+03]
21,22,66,1,6.243987105480798e-09,[ 4.00449133e-05 -6.81204230e-05 -8.75464854e+01]
22,23,78,1,3.2397907984842936e-09,[3.43796198e-05 4.53633392e-05 2.42099503e+01]
23,24,77,1,3.3673152572060352e-09,[ 9.33404708e-06 -5.72729502e-05 -1.10343495e+03]
24,25,81,1,3.4389940514715547e-09,[-5.83878498e-05  5.46379413e-06 -2.62619253e+03]
25,26,75,1,5.54214706847061e-09,[ 6.27008594e-05  4.01341413e-05 -2.50241585e-01]
26,27,55,1,8.349716153367413e-09,[ 8.75158379e-05  2.62810628e-05 -9.76765015e+00]
27,28,76,1,7.665839151131446e-09,[-7.09970623e-05 -5.12372550e-05  2.64910114e+04]
28,29,73,1,6.283167777571421e-09,[ 7.76240994e-05 -1.60520084e-05 -1.05652435e+01]
29,30,62,1,5.872508218906792e-09,[ 7.48590765e-05  1.63898410e-05 -5.31645735e+01]
30,31,93,1,8.001981168673992e-09,[-9.91561210e-06  8.89025411e-05  5.11075689e+01]
31,32,54,1,9.355965458466735e-09,[-5.82165100e-05 -7.72450867e-05  8.98900054e+01]
32,33,82,1,6.965957946095798e-09,[-6.70866618e-05 -4.96521676e-05 -7.11382946e+00]
33,34,76,1,3.0906861747429973e-09,[2.48674201e-05 4.97222042e-05 2.78866587e+04]
34,35,88,1,4.8055602489827595e-09,[4.78792937e-05 5.01311628e-05 8.78602440e+01]
35,36,87,1,4.7584015449733195e-09,[-6.68372195e-05 -1.70642209e-05 -7.60703171e+01]
36,37,65,1,4.9755730895515845e-09,[ 6.20363716e-05 -3.35717394e-05 -1.64800860e+02]
37,38,81,1,4.230442009802377e-09,[-1.00120322e-05 -6.42666416e-05  7.05948228e+01]
