,Evalaution Turn,w,c1,c2
0,1,,,
1,2,0.6595,2.057,1.943
2,3,0.6545000000000001,2.027,1.9729999999999999
3,4,0.6835,2.201,1.799
4,5,0.672,2.1319999999999997,1.868
5,6,0.6765,2.159,1.841
6,7,0.6805,2.183,1.817
7,8,0.6950000000000001,2.27,1.73
8,9,,,
9,10,0.6585000000000001,2.051,1.9489999999999998
10,11,0.6905,2.2430000000000003,1.757
11,12,0.6775,2.165,1.835
12,13,,,
13,14,,,
14,15,,,
15,16,,,
16,17,,,
17,18,0.667,2.102,1.8980000000000001
18,19,,,
19,20,0.6665,2.099,1.901
20,21,,,
21,22,,,
22,23,0.652,2.012,1.988
23,24,,,
24,25,,,
25,26,0.652,2.012,1.988
26,27,,,
27,28,,,
28,29,0.677,2.162,1.838
29,30,,,
30,31,,,
31,32,0.6695,2.117,1.883
32,33,,,
33,34,0.67,2.12,1.8800000000000001
34,35,0.6930000000000001,2.258,1.742
35,36,0.671,2.126,1.874
36,37,,,
37,38,0.6705,2.123,1.877
38,39,,,
39,40,,,
40,41,,,
41,42,,,
42,43,0.7155,2.393,1.607
43,44,,,
44,45,0.6715,2.129,1.871
45,46,0.6970000000000001,2.282,1.718
46,47,,,
47,48,0.6615,2.069,1.931
48,49,0.6325000000000001,1.895,2.105
49,50,0.6645000000000001,2.087,1.9129999999999998
50,51,0.671,2.126,1.874
51,52,,,
52,53,,,
53,54,0.678,2.168,1.832
54,55,,,
55,56,0.6945,2.2670000000000003,1.7329999999999999
56,57,,,
57,58,0.665,2.09,1.91
58,59,,,
59,60,,,
60,61,,,
61,62,,,
62,63,0.672,2.1319999999999997,1.868
63,64,0.85,3.2,0.8
64,65,,,
65,66,0.6950000000000001,2.27,1.73
66,67,0.6990000000000001,2.294,1.706
67,68,,,
68,69,,,
69,70,,,
70,71,0.66,2.06,1.94
71,72,,,
72,73,,,
73,74,0.71,2.36,1.6400000000000001
74,75,0.6875,2.225,1.775
75,76,,,
76,77,,,
77,78,0.668,2.1079999999999997,1.8920000000000001
78,79,0.6960000000000001,2.276,1.724
79,80,0.6745,2.1470000000000002,1.853
80,81,0.657,2.042,1.958
81,82,0.6825,2.1950000000000003,1.805
82,83,0.672,2.1319999999999997,1.868
83,84,,,
84,85,,,
85,86,,,
86,87,,,
87,88,,,
88,89,,,
89,90,0.6715,2.129,1.871
90,91,0.67,2.12,1.8800000000000001
91,92,,,
92,93,,,
93,94,0.7025,2.315,1.685
94,95,,,
95,96,,,
96,97,0.676,2.1559999999999997,1.844
97,98,,,
98,99,,,
99,100,0.6655,2.093,1.907
100,101,,,
101,102,0.662,2.072,1.928
102,103,0.685,2.21,1.79
103,104,0.7030000000000001,2.318,1.682
104,105,,,
105,106,0.6925,2.255,1.7449999999999999
106,107,0.673,2.138,1.862
107,108,0.6555,2.033,1.967
108,109,0.6865,2.2190000000000003,1.781
109,110,,,
110,111,,,
111,112,,,
112,113,,,
113,114,,,
114,115,,,
115,116,,,
116,117,,,
117,118,0.66,2.06,1.94
118,119,,,
119,120,,,
120,121,,,
121,122,0.654,2.024,1.976
122,123,0.675,2.15,1.85
123,124,,,
124,125,,,
125,126,0.6930000000000001,2.258,1.742
126,127,0.683,2.198,1.802
127,128,0.6735,2.141,1.859
128,129,0.67,2.12,1.8800000000000001
129,130,0.6775,2.165,1.835
130,131,0.6835,2.201,1.799
131,132,0.675,2.15,1.85
132,133,,,
133,134,,,
134,135,,,
135,136,,,
136,137,0.6605000000000001,2.063,1.9369999999999998
137,138,,,
138,139,,,
139,140,,,
140,141,,,
141,142,,,
142,143,,,
143,144,,,
144,145,0.683,2.198,1.802
145,146,0.651,2.0060000000000002,1.994
146,147,,,
147,148,0.7015,2.309,1.691
148,149,0.6965,2.279,1.7209999999999999
149,150,0.66,2.06,1.94
150,151,0.7,2.3,1.7000000000000002
151,152,,,
152,153,0.661,2.066,1.934
153,154,0.666,2.096,1.9040000000000001
154,155,,,
155,156,,,
156,157,,,
157,158,,,
158,159,,,
159,160,0.6695,2.117,1.883
160,161,0.6705,2.123,1.877
161,162,,,
162,163,,,
163,164,0.678,2.168,1.832
164,165,0.653,2.018,1.982
165,166,,,
166,167,0.677,2.162,1.838
167,168,,,
168,169,,,
169,170,0.6725,2.135,1.865
170,171,,,
171,172,,,
172,173,,,
173,174,0.6575,2.045,1.955
174,175,,,
175,176,,,
176,177,,,
177,178,,,
178,179,,,
179,180,0.65,2.0,2.0
180,181,0.6535,2.021,1.979
181,182,,,
182,183,0.7030000000000001,2.318,1.682
183,184,,,
184,185,,,
185,186,,,
186,187,,,
187,188,,,
188,189,0.684,2.2039999999999997,1.796
189,190,0.6735,2.141,1.859
190,191,,,
191,192,,,
192,193,,,
193,194,,,
194,195,,,
195,196,0.685,2.21,1.79
196,197,,,
197,198,,,
198,199,,,
